,objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,primaryImage
86,37926,Priests before Shri Nathji,Unidentified artist,ca. 1820,"India (Rajasthan, Kota)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP156132.jpg
87,37928,Seated Four-Armed Ganesha,Unidentified artist,ca. 1775,"India (Rajasthan, Bundi)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152303.jpg
88,37945,Lady on a Terrace,Unidentified artist,18th century,"India (Punjab Hills, Chamba)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/LC-58_1_3_001.jpg
89,37959,Radha and Krishna on a Bed at Night,Unidentified artist,ca. 1830,"India (Punjab Hills, Sirmur)",India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152316.jpg
90,37960,Hanuman Bearing the Mountaintop with Medicinal Herbs,Unidentified artist,ca. 1800,India (Rajasthan),India,1800's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP227587.jpg
91,37968,Krishna and the Gopis Take Shelter from the Rain,Unidentified artist,1760,"India (Rajasthan, Jaipur)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP153159.jpg
92,37970,"Portrait of a Lama, Possibly Dromton",Unidentified artist,last quarter of the 11th century,China,China,1100's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT5055.jpg
93,37971,Lineage Portrait of an Abbot,Unidentified artist,ca. 1350,Central Tibet,China,1300's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT6724.jpg
94,37974,Maharaja Fateh Singh Hunting Female Bears,Pannalai,dated 1917,"Western India, Rajasthan, Udaipur",India,1900's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DT6831.jpg
95,37987,A Lady Gazing at Doves,Unidentified artist,ca. 1780–1800,"India (Punjab Hills, Mandi)",India,1700's,Asian Art,https://images.metmuseum.org/CRDImages/as/original/DP152317.jpg
